id,architecture,condition,n_misinformed,misinformed_agents,category,final_answer,gold_answer,correct,error
MINT_ID_WINOGRANDE_000334,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000355,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000003,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000039,sequential_chain,control,0,,hoax,B,A,0,
MINT_ID_WINOGRANDE_000221,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000134,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000090,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000251,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000193,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000214,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000278,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000178,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000358,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000160,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000123,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000011,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000066,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000254,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000209,sequential_chain,control,0,,hoax,A,B,0,
MINT_ID_WINOGRANDE_000204,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000065,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000100,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000377,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000078,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000252,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000081,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000152,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000075,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000145,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000324,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000038,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000170,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000020,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000101,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000159,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000155,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000124,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000307,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000272,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000168,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000244,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000238,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000128,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000340,sequential_chain,control,0,,hoax,B,A,0,
MINT_ID_WINOGRANDE_000008,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000189,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000131,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000211,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000150,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000344,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000208,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000357,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000097,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000012,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000166,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000363,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000070,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000371,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000007,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000380,sequential_chain,control,0,,hoax,A,B,0,
MINT_ID_WINOGRANDE_000273,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000110,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000202,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000179,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000338,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000010,sequential_chain,control,0,,hoax,B,A,0,
MINT_ID_WINOGRANDE_000271,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000032,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000060,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000323,sequential_chain,control,0,,hoax,A,B,0,
MINT_ID_WINOGRANDE_000382,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000153,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000354,sequential_chain,control,0,,hoax,A,B,0,
MINT_ID_WINOGRANDE_000299,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000069,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000144,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000341,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000176,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000239,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000345,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000104,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000163,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000026,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000362,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000318,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000106,sequential_chain,control,0,,hoax,A,B,0,
MINT_ID_WINOGRANDE_000192,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000091,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000346,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000315,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000269,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000049,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000105,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000320,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000063,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000263,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000148,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000147,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000290,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000311,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000191,sequential_chain,control,0,,hoax,A,B,0,
MINT_ID_WINOGRANDE_000292,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000281,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000061,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000132,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000165,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000085,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000009,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000279,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000199,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000368,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000361,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000019,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000002,sequential_chain,control,0,,hoax,B,A,0,
MINT_ID_WINOGRANDE_000268,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000171,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000258,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000142,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000329,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000087,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000294,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000381,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000359,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000031,sequential_chain,control,0,,hoax,B,A,0,
MINT_ID_WINOGRANDE_000116,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000133,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000305,sequential_chain,control,0,,hoax,A,B,0,
MINT_ID_WINOGRANDE_000229,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000297,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000172,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000103,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000374,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000183,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000327,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000339,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000313,sequential_chain,control,0,,hoax,B,A,0,
MINT_ID_WINOGRANDE_000226,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000055,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000287,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000232,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000224,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000249,sequential_chain,control,0,,hoax,B,A,0,
MINT_ID_WINOGRANDE_000043,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000379,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000122,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000169,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000201,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000264,sequential_chain,control,0,,hoax,B,A,0,
MINT_ID_WINOGRANDE_000197,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000257,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000301,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000018,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000125,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000188,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000022,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000021,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000146,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000284,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000015,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000062,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000267,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000207,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000213,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000093,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000255,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000005,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000304,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000083,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000154,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000250,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000282,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000200,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000300,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000042,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000243,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000096,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000040,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000051,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000156,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000241,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000164,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000216,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000077,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000161,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000223,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000028,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000234,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000130,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000046,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000262,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000260,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000068,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000225,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000185,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000245,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000001,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000321,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000319,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000366,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000076,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000325,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000349,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000308,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000059,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000006,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000129,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000240,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000198,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000033,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000350,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000351,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000079,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000057,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000025,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000047,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000253,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000261,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000071,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000298,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000326,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000205,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000220,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000135,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000276,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000127,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000376,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000337,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000074,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000235,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000203,sequential_chain,control,0,,hoax,A,B,0,
MINT_ID_WINOGRANDE_000256,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000289,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000293,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000109,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000034,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000138,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000206,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000162,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000369,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000118,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000029,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000167,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000356,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000286,sequential_chain,control,0,,hoax,A,B,0,
MINT_ID_WINOGRANDE_000139,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000316,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000237,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000312,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000378,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000274,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000088,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000037,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000137,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000108,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000182,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000190,sequential_chain,control,0,,hoax,B,A,0,
MINT_ID_WINOGRANDE_000084,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000187,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000233,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000348,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000342,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000052,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000365,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000331,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000149,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000117,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000024,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000036,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000099,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000296,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000186,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000317,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000322,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000151,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000283,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000041,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000194,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000064,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000275,sequential_chain,control,0,,hoax,A,A,1,
