id,architecture,condition,n_misinformed,misinformed_agents,category,final_answer,gold_answer,correct,error
MINT_ID_WINOGRANDE_000377,sequential_chain,control,0,,hoax,B,A,0,
MINT_ID_WINOGRANDE_000078,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000252,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000081,sequential_chain,control,0,,hoax,B,A,0,
MINT_ID_WINOGRANDE_000152,sequential_chain,control,0,,hoax,B,A,0,
MINT_ID_WINOGRANDE_000075,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000145,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000324,sequential_chain,control,0,,hoax,B,A,0,
MINT_ID_WINOGRANDE_000038,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000170,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000020,sequential_chain,control,0,,hoax,B,A,0,
MINT_ID_WINOGRANDE_000101,sequential_chain,control,0,,hoax,B,A,0,
MINT_ID_WINOGRANDE_000159,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000155,sequential_chain,control,0,,hoax,B,A,0,
MINT_ID_WINOGRANDE_000124,sequential_chain,control,0,,hoax,B,A,0,
MINT_ID_WINOGRANDE_000307,sequential_chain,control,0,,hoax,B,A,0,
MINT_ID_WINOGRANDE_000272,sequential_chain,control,0,,hoax,B,A,0,
MINT_ID_WINOGRANDE_000168,sequential_chain,control,0,,hoax,B,A,0,
MINT_ID_WINOGRANDE_000244,sequential_chain,control,0,,hoax,B,A,0,
MINT_ID_WINOGRANDE_000238,sequential_chain,control,0,,hoax,B,A,0,
MINT_ID_WINOGRANDE_000128,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000340,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000008,sequential_chain,control,0,,hoax,B,A,0,
MINT_ID_WINOGRANDE_000189,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000131,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000211,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000265,sequential_chain,one_contaminated,1,writer,hoax,A,A,1,
MINT_ID_WINOGRANDE_000119,sequential_chain,one_contaminated,1,writer,hoax,B,A,0,
MINT_ID_WINOGRANDE_000352,sequential_chain,one_contaminated,1,writer,hoax,B,A,0,
MINT_ID_WINOGRANDE_000266,sequential_chain,one_contaminated,1,writer,hoax,A,A,1,
MINT_ID_WINOGRANDE_000336,sequential_chain,one_contaminated,1,writer,hoax,A,A,1,
MINT_ID_WINOGRANDE_000218,sequential_chain,one_contaminated,1,writer,hoax,B,A,0,
MINT_ID_WINOGRANDE_000227,sequential_chain,one_contaminated,1,writer,hoax,B,A,0,
MINT_ID_WINOGRANDE_000181,sequential_chain,one_contaminated,1,writer,hoax,B,A,0,
MINT_ID_WINOGRANDE_000067,sequential_chain,one_contaminated,1,writer,hoax,B,A,0,
MINT_ID_WINOGRANDE_000107,sequential_chain,one_contaminated,1,writer,hoax,B,A,0,
MINT_ID_WINOGRANDE_000158,sequential_chain,one_contaminated,1,writer,hoax,B,A,0,
MINT_ID_WINOGRANDE_000054,sequential_chain,one_contaminated,1,writer,hoax,A,A,1,
MINT_ID_WINOGRANDE_000098,sequential_chain,one_contaminated,1,writer,hoax,A,A,1,
MINT_ID_WINOGRANDE_000372,sequential_chain,one_contaminated,1,writer,hoax,A,A,1,
MINT_ID_WINOGRANDE_000306,sequential_chain,one_contaminated,1,writer,hoax,A,A,1,
MINT_ID_WINOGRANDE_000343,sequential_chain,one_contaminated,1,writer,hoax,A,A,1,
MINT_ID_WINOGRANDE_000210,sequential_chain,one_contaminated,1,writer,hoax,B,A,0,
MINT_ID_WINOGRANDE_000247,sequential_chain,one_contaminated,1,writer,hoax,B,A,0,
MINT_ID_WINOGRANDE_000212,sequential_chain,one_contaminated,1,writer,hoax,B,A,0,
MINT_ID_WINOGRANDE_000360,sequential_chain,one_contaminated,1,writer,hoax,B,A,0,
MINT_ID_WINOGRANDE_000295,sequential_chain,one_contaminated,1,writer,hoax,A,A,1,
MINT_ID_WINOGRANDE_000114,sequential_chain,one_contaminated,1,writer,hoax,A,A,1,
MINT_ID_WINOGRANDE_000330,sequential_chain,one_contaminated,1,writer,hoax,B,A,0,
MINT_ID_WINOGRANDE_000314,sequential_chain,one_contaminated,1,writer,hoax,B,A,0,
MINT_ID_WINOGRANDE_000291,sequential_chain,one_contaminated,1,writer,hoax,A,A,1,
MINT_ID_WINOGRANDE_000035,sequential_chain,one_contaminated,1,writer,hoax,A,A,1,
MINT_ID_WINOGRANDE_000056,sequential_chain,one_contaminated,1,writer,hoax,B,A,0,
MINT_ID_WINOGRANDE_000335,sequential_chain,one_contaminated,1,writer,hoax,B,A,0,
MINT_ID_WINOGRANDE_000285,sequential_chain,one_contaminated,1,writer,hoax,A,A,1,
MINT_ID_WINOGRANDE_000222,sequential_chain,one_contaminated,1,writer,hoax,B,A,0,
MINT_ID_WINOGRANDE_000089,sequential_chain,one_contaminated,1,writer,hoax,B,A,0,
MINT_ID_WINOGRANDE_000246,sequential_chain,one_contaminated,1,writer,hoax,B,A,0,
MINT_ID_WINOGRANDE_000095,sequential_chain,one_contaminated,1,writer,hoax,A,A,1,
MINT_ID_WINOGRANDE_000094,sequential_chain,one_contaminated,1,writer,hoax,B,A,0,
MINT_ID_WINOGRANDE_000219,sequential_chain,one_contaminated,1,writer,hoax,A,A,1,
MINT_ID_WINOGRANDE_000044,sequential_chain,one_contaminated,1,writer,hoax,B,A,0,
MINT_ID_WINOGRANDE_000030,sequential_chain,one_contaminated,1,writer,hoax,B,A,0,
MINT_ID_WINOGRANDE_000157,sequential_chain,one_contaminated,1,writer,hoax,A,A,1,
MINT_ID_WINOGRANDE_000073,sequential_chain,one_contaminated,1,writer,hoax,A,A,1,
MINT_ID_WINOGRANDE_000086,sequential_chain,one_contaminated,1,writer,hoax,A,A,1,
MINT_ID_WINOGRANDE_000242,sequential_chain,one_contaminated,1,writer,hoax,A,A,1,
MINT_ID_WINOGRANDE_000277,sequential_chain,one_contaminated,1,writer,hoax,A,A,1,
MINT_ID_WINOGRANDE_000270,sequential_chain,one_contaminated,1,writer,hoax,B,A,0,
MINT_ID_WINOGRANDE_000231,sequential_chain,one_contaminated,1,writer,hoax,A,A,1,
MINT_ID_WINOGRANDE_000332,sequential_chain,one_contaminated,1,writer,hoax,A,A,1,
MINT_ID_WINOGRANDE_000174,sequential_chain,one_contaminated,1,writer,hoax,B,A,0,
MINT_ID_WINOGRANDE_000180,sequential_chain,one_contaminated,1,writer,hoax,,A,0,gave up after repeated failures
MINT_ID_WINOGRANDE_000092,sequential_chain,one_contaminated,1,writer,hoax,B,A,0,
MINT_ID_WINOGRANDE_000140,sequential_chain,one_contaminated,1,writer,hoax,B,A,0,
MINT_ID_WINOGRANDE_000121,sequential_chain,one_contaminated,1,writer,hoax,,A,0,gave up after repeated failures
MINT_ID_WINOGRANDE_000228,sequential_chain,one_contaminated,1,writer,hoax,,A,0,gave up after repeated failures
MINT_ID_WINOGRANDE_000027,sequential_chain,one_contaminated,1,writer,hoax,,A,0,gave up after repeated failures
MINT_ID_WINOGRANDE_000334,sequential_chain,one_contaminated,1,writer,hoax,B,A,0,
MINT_ID_WINOGRANDE_000355,sequential_chain,one_contaminated,1,writer,hoax,,A,0,gave up after repeated failures
MINT_ID_WINOGRANDE_000003,sequential_chain,one_contaminated,1,writer,hoax,A,A,1,
MINT_ID_WINOGRANDE_000039,sequential_chain,one_contaminated,1,writer,hoax,B,A,0,
MINT_ID_WINOGRANDE_000221,sequential_chain,one_contaminated,1,writer,hoax,,A,0,gave up after repeated failures
MINT_ID_WINOGRANDE_000134,sequential_chain,one_contaminated,1,writer,hoax,A,A,1,
MINT_ID_WINOGRANDE_000090,sequential_chain,one_contaminated,1,writer,hoax,,A,0,gave up after repeated failures
MINT_ID_WINOGRANDE_000251,sequential_chain,one_contaminated,1,writer,hoax,B,A,0,
MINT_ID_WINOGRANDE_000193,sequential_chain,one_contaminated,1,writer,hoax,A,A,1,
MINT_ID_WINOGRANDE_000214,sequential_chain,one_contaminated,1,writer,hoax,B,A,0,
MINT_ID_WINOGRANDE_000278,sequential_chain,one_contaminated,1,writer,hoax,,A,0,gave up after repeated failures
MINT_ID_WINOGRANDE_000178,sequential_chain,one_contaminated,1,writer,hoax,B,A,0,
MINT_ID_WINOGRANDE_000358,sequential_chain,one_contaminated,1,writer,hoax,A,A,1,
MINT_ID_WINOGRANDE_000160,sequential_chain,one_contaminated,1,writer,hoax,,A,0,gave up after repeated failures
MINT_ID_WINOGRANDE_000123,sequential_chain,one_contaminated,1,writer,hoax,A,A,1,
MINT_ID_WINOGRANDE_000011,sequential_chain,one_contaminated,1,writer,hoax,B,A,0,
MINT_ID_WINOGRANDE_000066,sequential_chain,one_contaminated,1,writer,hoax,,A,0,gave up after repeated failures
MINT_ID_WINOGRANDE_000254,sequential_chain,one_contaminated,1,writer,hoax,,A,0,gave up after repeated failures
MINT_ID_WINOGRANDE_000209,sequential_chain,one_contaminated,1,writer,hoax,A,A,1,
MINT_ID_WINOGRANDE_000204,sequential_chain,one_contaminated,1,writer,hoax,A,A,1,
MINT_ID_WINOGRANDE_000065,sequential_chain,one_contaminated,1,writer,hoax,A,A,1,
MINT_ID_WINOGRANDE_000100,sequential_chain,one_contaminated,1,writer,hoax,A,A,1,
MINT_ID_WINOGRANDE_000377,sequential_chain,one_contaminated,1,writer,hoax,,A,0,gave up after repeated failures
MINT_ID_WINOGRANDE_000078,sequential_chain,one_contaminated,1,writer,hoax,A,A,1,
MINT_ID_WINOGRANDE_000252,sequential_chain,one_contaminated,1,writer,hoax,A,A,1,
MINT_ID_WINOGRANDE_000081,sequential_chain,one_contaminated,1,writer,hoax,B,A,0,
MINT_ID_WINOGRANDE_000152,sequential_chain,one_contaminated,1,writer,hoax,B,A,0,
MINT_ID_WINOGRANDE_000075,sequential_chain,one_contaminated,1,writer,hoax,A,A,1,
MINT_ID_WINOGRANDE_000145,sequential_chain,one_contaminated,1,writer,hoax,A,A,1,
MINT_ID_WINOGRANDE_000324,sequential_chain,one_contaminated,1,writer,hoax,,A,0,gave up after repeated failures
MINT_ID_WINOGRANDE_000038,sequential_chain,one_contaminated,1,writer,hoax,A,A,1,
MINT_ID_WINOGRANDE_000170,sequential_chain,one_contaminated,1,writer,hoax,A,A,1,
MINT_ID_WINOGRANDE_000020,sequential_chain,one_contaminated,1,writer,hoax,,A,0,gave up after repeated failures
MINT_ID_WINOGRANDE_000101,sequential_chain,one_contaminated,1,writer,hoax,,A,0,Connection error.
MINT_ID_WINOGRANDE_000159,sequential_chain,one_contaminated,1,writer,hoax,,A,0,Connection error.
MINT_ID_WINOGRANDE_000155,sequential_chain,one_contaminated,1,writer,hoax,B,A,0,
MINT_ID_WINOGRANDE_000124,sequential_chain,one_contaminated,1,writer,hoax,B,A,0,
MINT_ID_WINOGRANDE_000307,sequential_chain,one_contaminated,1,writer,hoax,,A,0,gave up after repeated failures
MINT_ID_WINOGRANDE_000272,sequential_chain,one_contaminated,1,writer,hoax,B,A,0,
MINT_ID_WINOGRANDE_000168,sequential_chain,one_contaminated,1,writer,hoax,B,A,0,
MINT_ID_WINOGRANDE_000244,sequential_chain,one_contaminated,1,writer,hoax,,A,0,gave up after repeated failures
MINT_ID_WINOGRANDE_000238,sequential_chain,one_contaminated,1,writer,hoax,B,A,0,
MINT_ID_WINOGRANDE_000128,sequential_chain,one_contaminated,1,writer,hoax,A,A,1,
MINT_ID_WINOGRANDE_000340,sequential_chain,one_contaminated,1,writer,hoax,A,A,1,
MINT_ID_WINOGRANDE_000008,sequential_chain,one_contaminated,1,writer,hoax,,A,0,gave up after repeated failures
MINT_ID_WINOGRANDE_000189,sequential_chain,one_contaminated,1,writer,hoax,A,A,1,
MINT_ID_WINOGRANDE_000131,sequential_chain,one_contaminated,1,writer,hoax,,A,0,gave up after repeated failures
MINT_ID_WINOGRANDE_000211,sequential_chain,one_contaminated,1,writer,hoax,A,A,1,
MINT_ID_WINOGRANDE_000265,sequential_chain,multi_contaminated,2,writer|researcher,hoax,,A,0,gave up after repeated failures
MINT_ID_WINOGRANDE_000119,sequential_chain,multi_contaminated,2,writer|researcher,hoax,,A,0,gave up after repeated failures
MINT_ID_WINOGRANDE_000352,sequential_chain,multi_contaminated,2,writer|researcher,hoax,A,A,1,
MINT_ID_WINOGRANDE_000266,sequential_chain,multi_contaminated,2,writer|researcher,hoax,,A,0,gave up after repeated failures
MINT_ID_WINOGRANDE_000336,sequential_chain,multi_contaminated,2,writer|researcher,hoax,B,A,0,
MINT_ID_WINOGRANDE_000218,sequential_chain,multi_contaminated,2,writer|researcher,hoax,,A,0,gave up after repeated failures
MINT_ID_WINOGRANDE_000227,sequential_chain,multi_contaminated,2,writer|researcher,hoax,B,A,0,
MINT_ID_WINOGRANDE_000181,sequential_chain,multi_contaminated,2,writer|researcher,hoax,,A,0,gave up after repeated failures
MINT_ID_WINOGRANDE_000067,sequential_chain,multi_contaminated,2,writer|researcher,hoax,B,A,0,
MINT_ID_WINOGRANDE_000107,sequential_chain,multi_contaminated,2,writer|researcher,hoax,,A,0,gave up after repeated failures
MINT_ID_WINOGRANDE_000158,sequential_chain,multi_contaminated,2,writer|researcher,hoax,A,A,1,
MINT_ID_WINOGRANDE_000054,sequential_chain,multi_contaminated,2,writer|researcher,hoax,,A,0,gave up after repeated failures
MINT_ID_WINOGRANDE_000098,sequential_chain,multi_contaminated,2,writer|researcher,hoax,A,A,1,
MINT_ID_WINOGRANDE_000372,sequential_chain,multi_contaminated,2,writer|researcher,hoax,,A,0,gave up after repeated failures
MINT_ID_WINOGRANDE_000306,sequential_chain,multi_contaminated,2,writer|researcher,hoax,,A,0,Connection error.
MINT_ID_WINOGRANDE_000343,sequential_chain,multi_contaminated,2,writer|researcher,hoax,,A,0,Connection error.
MINT_ID_WINOGRANDE_000210,sequential_chain,multi_contaminated,2,writer|researcher,hoax,,A,0,Connection error.
MINT_ID_WINOGRANDE_000247,sequential_chain,multi_contaminated,2,writer|researcher,hoax,,A,0,Connection error.
MINT_ID_WINOGRANDE_000212,sequential_chain,multi_contaminated,2,writer|researcher,hoax,,A,0,gave up after repeated failures
MINT_ID_WINOGRANDE_000360,sequential_chain,multi_contaminated,2,writer|researcher,hoax,,A,0,gave up after repeated failures
MINT_ID_WINOGRANDE_000295,sequential_chain,multi_contaminated,2,writer|researcher,hoax,A,A,1,
MINT_ID_WINOGRANDE_000114,sequential_chain,multi_contaminated,2,writer|researcher,hoax,A,A,1,
MINT_ID_WINOGRANDE_000330,sequential_chain,multi_contaminated,2,writer|researcher,hoax,B,A,0,
MINT_ID_WINOGRANDE_000314,sequential_chain,multi_contaminated,2,writer|researcher,hoax,,A,0,gave up after repeated failures
MINT_ID_WINOGRANDE_000291,sequential_chain,multi_contaminated,2,writer|researcher,hoax,,A,0,gave up after repeated failures
MINT_ID_WINOGRANDE_000035,sequential_chain,multi_contaminated,2,writer|researcher,hoax,B,A,0,
MINT_ID_WINOGRANDE_000056,sequential_chain,multi_contaminated,2,writer|researcher,hoax,,A,0,gave up after repeated failures
MINT_ID_WINOGRANDE_000335,sequential_chain,multi_contaminated,2,writer|researcher,hoax,B,A,0,
MINT_ID_WINOGRANDE_000285,sequential_chain,multi_contaminated,2,writer|researcher,hoax,,A,0,gave up after repeated failures
MINT_ID_WINOGRANDE_000222,sequential_chain,multi_contaminated,2,writer|researcher,hoax,,A,0,gave up after repeated failures
MINT_ID_WINOGRANDE_000089,sequential_chain,multi_contaminated,2,writer|researcher,hoax,,A,0,gave up after repeated failures
MINT_ID_WINOGRANDE_000246,sequential_chain,multi_contaminated,2,writer|researcher,hoax,B,A,0,
MINT_ID_WINOGRANDE_000095,sequential_chain,multi_contaminated,2,writer|researcher,hoax,,A,0,gave up after repeated failures
MINT_ID_WINOGRANDE_000094,sequential_chain,multi_contaminated,2,writer|researcher,hoax,,A,0,gave up after repeated failures
MINT_ID_WINOGRANDE_000219,sequential_chain,multi_contaminated,2,writer|researcher,hoax,B,A,0,
MINT_ID_WINOGRANDE_000044,sequential_chain,multi_contaminated,2,writer|researcher,hoax,,A,0,gave up after repeated failures
MINT_ID_WINOGRANDE_000030,sequential_chain,multi_contaminated,2,writer|researcher,hoax,A,A,1,
MINT_ID_WINOGRANDE_000157,sequential_chain,multi_contaminated,2,writer|researcher,hoax,,A,0,gave up after repeated failures
MINT_ID_WINOGRANDE_000073,sequential_chain,multi_contaminated,2,writer|researcher,hoax,A,A,1,
MINT_ID_WINOGRANDE_000086,sequential_chain,multi_contaminated,2,writer|researcher,hoax,,A,0,gave up after repeated failures
MINT_ID_WINOGRANDE_000242,sequential_chain,multi_contaminated,2,writer|researcher,hoax,,A,0,gave up after repeated failures
MINT_ID_WINOGRANDE_000277,sequential_chain,multi_contaminated,2,writer|researcher,hoax,,A,0,gave up after repeated failures
MINT_ID_WINOGRANDE_000270,sequential_chain,multi_contaminated,2,writer|researcher,hoax,A,A,1,
MINT_ID_WINOGRANDE_000231,sequential_chain,multi_contaminated,2,writer|researcher,hoax,,A,0,gave up after repeated failures
MINT_ID_WINOGRANDE_000332,sequential_chain,multi_contaminated,2,writer|researcher,hoax,,A,0,gave up after repeated failures
MINT_ID_WINOGRANDE_000174,sequential_chain,multi_contaminated,2,writer|researcher,hoax,,A,0,gave up after repeated failures
MINT_ID_WINOGRANDE_000180,sequential_chain,multi_contaminated,2,writer|researcher,hoax,,A,0,gave up after repeated failures
MINT_ID_WINOGRANDE_000092,sequential_chain,multi_contaminated,2,writer|researcher,hoax,B,A,0,
MINT_ID_WINOGRANDE_000140,sequential_chain,multi_contaminated,2,writer|researcher,hoax,B,A,0,
MINT_ID_WINOGRANDE_000121,sequential_chain,multi_contaminated,2,writer|researcher,hoax,B,A,0,
MINT_ID_WINOGRANDE_000228,sequential_chain,multi_contaminated,2,writer|researcher,hoax,A,A,1,
MINT_ID_WINOGRANDE_000027,sequential_chain,multi_contaminated,2,writer|researcher,hoax,,A,0,gave up after repeated failures
MINT_ID_WINOGRANDE_000334,sequential_chain,multi_contaminated,2,writer|researcher,hoax,A,A,1,
MINT_ID_WINOGRANDE_000355,sequential_chain,multi_contaminated,2,writer|researcher,hoax,B,A,0,
MINT_ID_WINOGRANDE_000003,sequential_chain,multi_contaminated,2,writer|researcher,hoax,B,A,0,
MINT_ID_WINOGRANDE_000039,sequential_chain,multi_contaminated,2,writer|researcher,hoax,,A,0,gave up after repeated failures
MINT_ID_WINOGRANDE_000221,sequential_chain,multi_contaminated,2,writer|researcher,hoax,A,A,1,
MINT_ID_WINOGRANDE_000134,sequential_chain,multi_contaminated,2,writer|researcher,hoax,,A,0,gave up after repeated failures
MINT_ID_WINOGRANDE_000090,sequential_chain,multi_contaminated,2,writer|researcher,hoax,B,A,0,
MINT_ID_WINOGRANDE_000251,sequential_chain,multi_contaminated,2,writer|researcher,hoax,B,A,0,
MINT_ID_WINOGRANDE_000193,sequential_chain,multi_contaminated,2,writer|researcher,hoax,A,A,1,
MINT_ID_WINOGRANDE_000214,sequential_chain,multi_contaminated,2,writer|researcher,hoax,A,A,1,
MINT_ID_WINOGRANDE_000278,sequential_chain,multi_contaminated,2,writer|researcher,hoax,B,A,0,
MINT_ID_WINOGRANDE_000178,sequential_chain,multi_contaminated,2,writer|researcher,hoax,B,A,0,
MINT_ID_WINOGRANDE_000358,sequential_chain,multi_contaminated,2,writer|researcher,hoax,A,A,1,
MINT_ID_WINOGRANDE_000160,sequential_chain,multi_contaminated,2,writer|researcher,hoax,A,A,1,
MINT_ID_WINOGRANDE_000123,sequential_chain,multi_contaminated,2,writer|researcher,hoax,B,A,0,
MINT_ID_WINOGRANDE_000011,sequential_chain,multi_contaminated,2,writer|researcher,hoax,A,A,1,
MINT_ID_WINOGRANDE_000066,sequential_chain,multi_contaminated,2,writer|researcher,hoax,A,A,1,
MINT_ID_WINOGRANDE_000254,sequential_chain,multi_contaminated,2,writer|researcher,hoax,,A,0,gave up after repeated failures
MINT_ID_WINOGRANDE_000209,sequential_chain,multi_contaminated,2,writer|researcher,hoax,B,A,0,
MINT_ID_WINOGRANDE_000204,sequential_chain,multi_contaminated,2,writer|researcher,hoax,B,A,0,
MINT_ID_WINOGRANDE_000065,sequential_chain,multi_contaminated,2,writer|researcher,hoax,,A,0,gave up after repeated failures
MINT_ID_WINOGRANDE_000100,sequential_chain,multi_contaminated,2,writer|researcher,hoax,B,A,0,
MINT_ID_WINOGRANDE_000377,sequential_chain,multi_contaminated,2,writer|researcher,hoax,B,A,0,
MINT_ID_WINOGRANDE_000078,sequential_chain,multi_contaminated,2,writer|researcher,hoax,,A,0,gave up after repeated failures
MINT_ID_WINOGRANDE_000252,sequential_chain,multi_contaminated,2,writer|researcher,hoax,,A,0,gave up after repeated failures
MINT_ID_WINOGRANDE_000081,sequential_chain,multi_contaminated,2,writer|researcher,hoax,A,A,1,
MINT_ID_WINOGRANDE_000152,sequential_chain,multi_contaminated,2,writer|researcher,hoax,,A,0,gave up after repeated failures
MINT_ID_WINOGRANDE_000075,sequential_chain,multi_contaminated,2,writer|researcher,hoax,,A,0,gave up after repeated failures
